Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (mg)","Kwas omega 6 (mg)","Węglowodany (g)","Cukry (g)","Cholesterol (g)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2023-01-12,Lunch,Maliny,"50x g",50,21.5,0.65,0.65,,0.15,0.005,0.005,0.03,0.015,0.015,6,2.45,0,3.35,,15,1.5,0.01,0.03,,0.03,,0,15.7,,0.24,0.13,3.9,0.18,16.5,1.5,10,0.095,101.5,,1,17.5,0.4,0.005
2023-01-12,Obiad,"Skyr strawberry and kiwi","1x opakowanie",350,280,22.75,,,5.25,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-12,Obiad,"Baileys The Original Likier irlandzki 700 ml","30x ml",30,98.1,0.9,,,3.9,0,0,0,,,7.5,0,0,0,,0,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2023-01-12,Przekąska,"Kapusta kwaszona","150x g",150,28.5,0.9,,,0,0,,,,,4.65,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41
2023-01-12,Przekąska,"Karkówka z ziemniakami i marchewką ","1x porcja",563.33,687.65,50.38,5.39,0,29.16,11.28,0,0.24,0.04,0.2,58.85,5.8,,7.98,,61.03,1272.03,0.28,0.14,,0.92,,,29.37,0,0.51,3.75,10.12,1.11,172.97,9.6,68.23,0.42,1410.97,,82.33,37.33,1.84,0.69
2023-01-13,Śniadanie,"Serek wiejski naturalny","1x opakowanie",200,194,22,0,22,10,7,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,560,,,1.4
2023-01-13,Śniadanie,"Chleb żytni razowy","100x g",100,229,6.3,6.3,0,1.7,0.3,0.39,1,0.08,0.92,51.2,1.6,0,8.4,,28.5,,0.14,0.1,,0.17,,0,0,0,0.86,0.86,,2.54,204,2.7,64,0.24,279,18,457.2,25,2.3,1.14
2023-01-13,Śniadanie,"Ser Piórko","90x g",90,147.6,31.5,,,2.43,1.62,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,720,,,1.8
2023-01-13,Śniadanie,"Wędzok ustrzycki masarnia u Jozefa","100x g",100,131,20,,,5,,,,,,1.4,0.8,,,,,,,,,,,,,,,,,,,,,,,,880,,,2.2
2023-01-13,Śniadanie,"Mleko spożywcze 2% tłuszczu","250x g",250,127.5,8.5,0,8.5,5,3,1.5,0.25,,,12.25,,20,0,,12.5,62.5,0,0.5,,0.25,,1,2.5,0,0.25,0.25,,0.75,215,,30,0,352.5,,112.5,300,0.25,
